"Estado","Ano","Tipo","Rango.edades","Valor"
"Nayarit ","2008","General","Entre.1.y.4",991
"Nuevo Leon","2008","General","Entre.1.y.4",17
"Oaxaca ","2008","General","Entre.1.y.4",424
"Puebla ","2008","General","Entre.1.y.4",1189
"Queretaro","2008","General","Entre.1.y.4",327
"Quintana Roo ","2008","General","Entre.1.y.4",7
"San Luis Potosi","2008","General","Entre.1.y.4",19
"Sinaloa ","2008","General","Entre.1.y.4",620
"Sonora ","2008","General","Entre.1.y.4",473
"Tabasco ","2008","General","Entre.1.y.4",3
"Tamaulipas ","2008","General","Entre.1.y.4",30
"Tlaxcala ","2008","General","Entre.1.y.4",3
"Veracruz ","2008","General","Entre.1.y.4",16
"Yucatan","2008","General","Entre.1.y.4",7
"Zacatecas ","2008","General","Entre.1.y.4",289
"Aguascalientes ","2009","General","Entre.1.y.4",137
"Baja California ","2009","General","Entre.1.y.4",13
"Baja California Sur","2009","General","Entre.1.y.4",10
"Campeche ","2009","General","Entre.1.y.4",4
"Coahuila ","2009","General","Entre.1.y.4",23
"Colima ","2009","General","Entre.1.y.4",586
"Chiapas ","2009","General","Entre.1.y.4",37
"Chihuahua ","2009","General","Entre.1.y.4",60
"Distrito Federal ","2009","General","Entre.1.y.4",26
"Durango ","2009","General","Entre.1.y.4",380
"Guanajuato ","2009","General","Entre.1.y.4",2003
"Guerrero ","2009","General","Entre.1.y.4",4175
"Hidalgo ","2009","General","Entre.1.y.4",9
"Jalisco ","2009","General","Entre.1.y.4",4148
"Mexico","2009","General","Entre.1.y.4",947
"Michoacan","2009","General","Entre.1.y.4",2887
"Morelos ","2009","General","Entre.1.y.4",2640
"Nayarit ","2009","General","Entre.1.y.4",1004
"Nuevo Leon","2009","General","Entre.1.y.4",18
"Oaxaca ","2009","General","Entre.1.y.4",389
"Puebla ","2009","General","Entre.1.y.4",1116
"Queretaro","2009","General","Entre.1.y.4",288
"Quintana Roo ","2009","General","Entre.1.y.4",15
"San Luis Potosi","2009","General","Entre.1.y.4",19
