"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Morelos ",130,2700,3605,4029,4521,3759,9566,2003,3053,949,2193,103,36611,"2011","General"
"Nayarit ",176,947,1122,1348,1620,1463,3986,690,995,428,867,3,13645,"2011","General"
"Nuevo Leon",0,19,19,19,24,30,88,9,12,1,6,0,227,"2011","General"
"Oaxaca ",27,376,518,581,600,530,1283,292,475,187,534,6,5409,"2011","General"
"Puebla ",62,1036,1481,1645,1848,1529,3618,798,1281,575,1359,7,15239,"2011","General"
"Queretaro",37,399,405,516,627,584,1840,291,478,160,266,0,5603,"2011","General"
"Quintana Roo ",3,16,14,10,20,30,102,16,13,2,9,1,236,"2011","General"
"San Luis Potosi",1,12,22,21,29,31,81,21,27,3,19,0,267,"2011","General"
"Sinaloa ",50,662,789,1001,1089,946,2567,548,809,402,644,14,9521,"2011","General"
"Sonora ",63,591,634,622,576,547,1426,263,436,166,264,4,5592,"2011","General"
"Tabasco ",1,7,6,6,0,12,21,3,5,2,3,0,66,"2011","General"
"Tamaulipas ",3,23,30,30,33,26,113,23,26,12,16,2,337,"2011","General"
"Tlaxcala ",0,1,9,7,5,13,21,0,2,0,5,0,63,"2011","General"
"Veracruz ",1,13,16,23,18,22,95,11,27,8,23,1,258,"2011","General"
"Yucatan",0,0,0,8,2,9,32,4,8,2,8,0,73,"2011","General"
"Zacatecas ",21,256,344,376,433,407,945,193,280,129,310,2,3696,"2011","General"
"Total",1895,22955,29093,33752,36252,31086,79517,14402,21301,8197,17615,327,296392,"2011","General"
"Aguascalientes ",9,135,197,292,335,262,599,93,172,61,140,0,2295,"2012","General"
"Baja California ",1,9,9,19,16,14,44,5,8,4,2,0,131,"2012","General"
"Baja California Sur",2,13,13,10,15,16,54,4,8,4,4,0,143,"2012","General"
"Campeche ",1,4,1,3,7,11,24,6,6,5,14,0,82,"2012","General"
"Coahuila ",2,15,23,26,17,36,91,12,8,1,0,0,231,"2012","General"
